education,absences,extrovert,prior_sales,recruit,grammar,first,revenue
HS,6,MED,3,FAIR,2,223,186
HS,3,HIGH,0,FAIR,3,191,417
HS,2,MED,8,WEB,8,307,479
COL,1,LOW,2,WEB,3,155,250
HS,4,LOW,4,REF,3,258,200
HS,1,MED,0,REF,6,261,372
HS,4,HIGH,0,WEB,3,221,387
HS,3,HIGH,0,WEB,3,328,428
COL,6,MED,5,WEB,5,213,313
COL,6,HIGH,2,FAIR,4,300,535
HS,2,HIGH,3,WEB,2,237,292
HS,6,MED,5,FAIR,8,280,340
HS,5,HIGH,5,WEB,7,235,653
HS,1,MED,2,WEB,7,296,322
HS,4,MED,4,WEB,4,273,301
GED,3,LOW,6,REF,5,133,382
HS,1,LOW,5,WEB,8,118,252
GED,3,HIGH,5,WEB,6,189,444
GED,5,MED,4,REF,6,200,317
HS,4,HIGH,0,FAIR,6,157,366
HS,10,HIGH,7,WEB,7,257,289
HS,1,MED,0,FAIR,7,176,388
HS,6,HIGH,4,WEB,8,276,410
HS,11,LOW,3,FAIR,5,208,301
HS,4,LOW,4,WEB,4,358,366
HS,2,HIGH,0,WEB,4,157,442
HS,4,HIGH,5,REF,6,153,567
COL,4,HIGH,3,FAIR,5,289,387
HS,2,LOW,2,REF,1,268,281
HS,5,HIGH,6,WEB,9,112,207
HS,2,MED,3,FAIR,3,177,298
COL,1,MED,5,FAIR,4,212,493
HS,4,LOW,0,WEB,6,283,297
HS,3,MED,0,FAIR,1,195,269
HS,6,HIGH,4,WEB,5,112,142
HS,6,MED,4,WEB,1,251,278
COL,2,HIGH,3,WEB,7,137,313
COL,4,MED,3,WEB,6,400,311
GED,2,HIGH,4,WEB,6,189,451
HS,1,HIGH,0,WEB,1,188,333
HS,5,MED,3,WEB,6,294,276
HS,2,MED,4,WEB,2,235,320
HS,3,HIGH,0,REF,4,307,341
HS,0,HIGH,7,FAIR,4,253,461
HS,3,HIGH,4,FAIR,3,376,548
HS,2,HIGH,5,FAIR,7,219,534
COL,1,LOW,6,REF,4,298,343
HS,6,HIGH,4,WEB,8,271,316
HS,4,HIGH,0,FAIR,7,217,437
HS,1,LOW,6,WEB,4,217,313
GED,2,MED,6,REF,6,207,343
HS,2,MED,3,WEB,0,229,253
HS,3,MED,2,WEB,5,150,181
GED,5,LOW,6,WEB,6,188,363
GED,5,MED,5,WEB,6,216,249
HS,1,HIGH,5,WEB,2,205,279
HS,1,HIGH,0,WEB,5,191,414
HS,3,MED,9,WEB,4,366,603
COL,1,MED,0,REF,3,155,398
COL,2,HIGH,6,REF,1,382,261
COL,2,MED,0,FAIR,3,209,365
HS,2,MED,2,REF,6,248,307
HS,2,HIGH,10,WEB,7,156,511
COL,3,MED,8,REF,8,191,299
HS,2,MED,7,WEB,3,414,466
HS,2,MED,6,FAIR,8,169,379
HS,2,MED,7,FAIR,6,231,477
HS,4,HIGH,4,WEB,9,321,262
COL,2,HIGH,0,REF,2,159,607
HS,6,MED,8,WEB,4,218,356
HS,5,HIGH,0,WEB,8,235,293
GED,2,MED,4,WEB,6,147,417
HS,3,MED,0,WEB,2,279,285
COL,3,MED,5,WEB,3,158,385
HS,11,HIGH,5,FAIR,8,254,233
HS,2,LOW,0,REF,9,144,240
HS,3,LOW,6,REF,3,192,531
HS,3,MED,0,FAIR,3,347,210
HS,2,MED,2,FAIR,6,175,372
GED,4,MED,3,WEB,6,195,251
HS,1,MED,5,REF,4,223,676
GED,2,HIGH,6,WEB,6,266,359
HS,2,LOW,4,WEB,6,125,431
GED,5,MED,0,FAIR,5,153,348
GED,2,LOW,5,WEB,6,245,257
HS,1,HIGH,0,WEB,6,240,319
HS,5,MED,0,WEB,7,269,418
HS,1,MED,4,WEB,3,190,368
HS,3,MED,4,FAIR,7,201,351
HS,5,HIGH,4,FAIR,3,266,477
HS,11,HIGH,2,WEB,3,214,219
HS,2,HIGH,6,REF,8,211,717
HS,3,HIGH,3,WEB,4,223,322
HS,2,HIGH,14,WEB,4,221,428
HS,2,MED,0,WEB,4,201,299
HS,6,HIGH,0,WEB,7,173,423
HS,3,MED,4,REF,5,192,277
GED,1,MED,6,REF,7,185,348
HS,3,HIGH,7,WEB,4,330,349
HS,5,HIGH,13,WEB,5,225,341
HS,2,MED,5,WEB,7,277,833
GED,3,HIGH,0,FAIR,6,318,454
HS,2,LOW,8,WEB,2,325,309
GED,1,LOW,0,WEB,6,268,361
HS,4,HIGH,0,WEB,5,319,333
HS,3,MED,4,WEB,5,292,305
HS,2,HIGH,0,REF,7,198,382
GED,1,MED,3,WEB,5,208,341
HS,3,MED,4,REF,3,210,228
HS,4,LOW,7,WEB,6,109,162
HS,10,HIGH,0,WEB,3,311,363
HS,5,HIGH,0,REF,8,180,278
HS,0,HIGH,8,WEB,7,152,582
COL,3,MED,1,WEB,5,234,325
GED,4,HIGH,5,WEB,3,159,280
GED,3,MED,6,FAIR,5,139,477
HS,4,LOW,7,REF,3,120,260
HS,3,MED,6,WEB,9,124,282
HS,2,MED,6,FAIR,9,277,465
GED,4,MED,0,REF,6,178,629
COL,5,LOW,5,WEB,6,150,393
HS,1,MED,5,WEB,7,201,310
HS,2,MED,3,REF,5,283,543
HS,1,MED,3,WEB,7,290,356
HS,5,MED,5,WEB,6,206,457
HS,6,MED,0,REF,3,186,190
COL,3,HIGH,5,FAIR,8,307,697
HS,2,MED,0,WEB,4,226,432
HS,3,MED,0,WEB,4,272,263
HS,0,HIGH,3,WEB,3,277,331
HS,2,LOW,0,WEB,2,165,295
HS,2,MED,8,WEB,3,130,193
COL,9,HIGH,5,WEB,7,163,266
HS,4,MED,0,REF,3,239,386
HS,2,MED,6,FAIR,3,255,504
HS,5,MED,5,FAIR,8,302,279
COL,1,HIGH,3,WEB,3,133,298
HS,10,LOW,3,WEB,7,395,241
HS,3,HIGH,2,REF,0,229,386
HS,6,MED,5,WEB,6,374,240
COL,3,LOW,0,FAIR,6,307,366
HS,2,MED,0,WEB,3,219,350
HS,3,HIGH,5,FAIR,4,187,435
HS,6,MED,5,REF,7,124,575
HS,3,MED,6,WEB,4,181,421
HS,5,MED,6,REF,6,154,251
HS,1,HIGH,5,FAIR,8,220,970
COL,2,HIGH,4,FAIR,5,123,440
HS,1,MED,6,WEB,6,255,467
HS,1,HIGH,4,WEB,5,222,458
COL,4,MED,4,WEB,7,175,224
GED,3,MED,0,WEB,5,224,288
HS,10,HIGH,8,WEB,8,149,321
HS,3,MED,0,WEB,8,316,457
HS,10,MED,8,WEB,5,271,556
HS,2,MED,3,WEB,8,252,391
HS,2,LOW,6,FAIR,1,259,279
GED,1,MED,7,WEB,7,215,465
HS,2,HIGH,0,FAIR,7,198,384
HS,3,HIGH,5,WEB,6,142,294
HS,2,MED,5,WEB,2,168,425
HS,3,HIGH,2,FAIR,7,220,409
HS,1,HIGH,0,WEB,5,222,254
GED,3,MED,5,WEB,4,194,287
HS,1,MED,0,REF,3,257,275
HS,1,HIGH,8,WEB,9,215,699
HS,1,MED,4,WEB,8,224,347
HS,2,MED,5,WEB,4,223,418
COL,3,LOW,7,WEB,8,296,290
HS,4,HIGH,6,WEB,9,310,907
HS,3,MED,0,FAIR,6,245,320
